geo,name,pisa_score,pisa_pred,spend_per_student,spend_year,gdp_per_capita,years_schooling,xpd_pct_gdp,gov_eff,pisa_per_1k_usd,residual,efficiency_z
LTU,Lithuania,477.0,467.9203343485219,9038.31662757548,2016,50498.3823963346,13.61069239,4.25285005569458,0.9448653,52.77531421555817,0.019218435211763918,0.3204726413801572
LVA,Latvia,484.0,458.0030199372097,10563.553294961723,2016,39960.8443388997,13.40943983,4.3196702003479,0.6374221,45.81791623381532,0.05520912887481977,0.9206272604327661
MDA,Moldova,414.0,411.2407813202972,5114.702720032767,2018,16452.9621236034,11.82999992,6.55709981918335,-0.0336705,80.94312077581468,0.00668708823941877,0.11150901764973026
MEX,Mexico,406.6666666666667,400.4014809247251,3372.849254545013,2016,23379.7338940539,9.349510934,4.05987977981567,-0.0748651999999999,120.57066176873201,0.01552610301176749,0.2589019963225652
MLT,Malta,459.0,471.8874454217637,17871.744482432943,2015,60489.4615184214,12.4207021,4.71258020401001,0.7610244,25.682999242249387,-0.027690283998683007,-0.46174302724669836
MYS,Malaysia,404.3333333333333,441.11505157075595,7839.273505613929,2018,34366.2284812574,11.09000015,3.51481008529663,0.7474758,51.577908723783985,-0.08706610906111756,-1.4518510814256722
NLD,Netherlands,480.0,497.2685029909527,17840.81909657413,2016,77152.2237613361,12.66994689,5.17918014526367,1.7511282,26.90459431272254,-0.035344023780274014,-0.589371222633876
NOR,Norway,474.3333333333333,521.1266149662181,32986.73438475889,2016,123150.172908009,13.11796218,5.43234014511108,1.7870167,14.37951777222583,-0.0940827257741157,-1.568855076120839
NZL,New Zealand,494.6666666666667,482.7192764661938,11327.357469055416,2016,53647.3428142934,12.88299807,5.21326017379761,1.7271046,43.670085279644375,0.024448858518096195,0.4076913745416677
PER,Peru,402.3333333333333,392.6452588475535,2441.9163586037394,2018,16669.1561486769,10.15465159,4.24538993835449,-0.197054099999999,164.76130802587483,0.024374377436172878,0.40644938221535143
POL,Poland,492.3333333333333,460.1776599498373,10395.528170676838,2016,46077.3855556036,13.20854242,4.31372976303101,0.6341038,47.36010765879904,0.0675433616605714,1.1263039514168443
PRT,Portugal,477.6666666666667,448.1056285024483,12339.39488119317,2015,44557.281053572,9.703254412,4.55160999298096,0.9658494,38.710704314576425,0.06388415662906866,1.0652857109162122
PRY,Paraguay,359.6666666666667,381.0889248609442,1949.2508913170832,2016,16347.0434974739,8.930653385,3.393709897995,-0.337846,184.51532753879857,-0.05785506988861844,-0.9647490474713332
ROU,Romania,428.0,435.65230425670245,6400.490047707846,2016,42217.9204497701,11.55000019,3.2788200378418,0.1319311,66.86987977635808,-0.017721262319896347,-0.29550687564674016
SGP,Singapore,559.6666666666666,527.2303361032402,30962.47028334929,2017,143094.949896959,11.98999977,2.1037700176239,2.2622865,18.07564646957898,0.0597038449508851,0.9955778751565276
SLV,El Salvador,360.3333333333333,366.87178095324555,1790.9429966980201,2018,11875.9648066233,7.250000159,3.18734002113342,-0.0947816,201.19754453250803,-0.017982887339707432,-0.2998695441067962
SRB,Serbia,442.3333333333333,416.14165577601057,2917.408935597706,2015,26242.3468505296,11.64171812,3.40377998352051,0.1035439,151.61855711623434,0.06103802467383357,1.017825685406314
SVK,Slovak Republic,457.6666666666667,453.28032686704,8253.979151276075,2016,41096.018502098,13.10320397,4.65688991546631,0.5846525,55.448003717808135,0.009630359902842223,0.16058887425008955
SVN,Slovenia,484.6666666666667,472.22550598866627,11769.000181388597,2016,51079.1780691932,12.95120192,5.28065013885498,1.1624609,41.18163473504867,0.0260047310089373,0.4336359720750483
SWE,Sweden,487.6666666666667,491.07300451678253,15769.133978939519,2016,66375.6164555727,12.74032574,7.31909990310669,1.6930218,30.92539306964925,-0.006960689760161287,-0.11607139752465993
TUR,Turkiye,461.6666666666667,413.3553093068055,5283.6891380074485,2016,39101.0748100515,8.98624366,3.09571003913879,-0.114084999999999,87.37581916879529,0.11053559375795174,1.8432111307611028
UKR,Ukraine,439.6666666666667,395.8545168934331,4470.159121620508,2017,14770.0712890625,11.12273899,5.14010000228882,-0.5803376,98.35593201596816,0.10497010187811107,1.7504050378789637
URY,Uruguay,424.6666666666667,434.350275972357,5332.6481535519115,2017,33000.918699951,10.53999996,4.76461982727051,0.8539851,79.63523083438561,-0.022546748610341893,-0.37597317378199097
USA,United States,489.3333333333333,496.024526887129,17234.35699241477,2016,77860.9112908848,13.90999985,5.42038011550903,1.3585237,28.392897602660774,-0.013581454365207968,-0.22647445050770185
