"Data Source","World Bank","",""
"Last Updated Date","","",""
"","","",""
"","","",""
Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Burundi,BDI,1460.27645878332,1501.8459320135,1476.99435502804,1429.12129549201,1365.48348262885,1184.2840262089,1088.78927818283,1071.55943349349,1101.22051819781,1064.28756095402,1033.47188177042,1028.61849315822,1044.4802745003,999.615791221936,1009.58916929728,981.533210986845,998.069458519996,994.963590921008,1001.61751311947,988.19632868896,991.038897704986,994.691231245018,1002.27452805218,1014.5231007912,1022.29153627273,995.319068450023,1009.63596796379,1023.97040626757,1046.59511246023,1057.95005999167,1030.77026419371,1035.53857384938,1031.25412243175,1036.16712196238,1051.25931339275
Cabo Verde,CPV,1848.75865235574,1830.07599656211,1984.68062998835,2111.62140814748,2465.9939315017,2763.39733371857,3022.88825211585,3302.9740337536,3657.38118993776,4006.47964718799,4510.13573659758,4540.90731780518,4710.2410491228,4841.265398715,5268.30312485708,5565.76951208069,5941.38218091511,6767.40677380347,7169.13944155367,6994.5740991365,7072.12150207342,7325.78441834692,7397.82220702474,7440.66242650114,7491.02198228243,7560.13649202469,7881.30336227784,8234.56000312459,8531.12961646549,9111.62993173269,7207.86853962048,7685.41921393669,8850.1066918812,9228.4604533114,9848.95276350935
Cambodia,KHM,2646.09798836687,2731.37973720314,2769.4882552665,2714.59150059884,1650.39100001816,1672.73928514136,1643.01579058314,1595.17130656935,1602.38371208931,1775.41239802043,1922.03179092592,2032.08092022373,2126.34150468987,2309.83931482788,2491.30930003838,2781.89028895255,3041.10471220153,3308.15747246544,3501.9257021932,3587.60889588362,3711.53750580157,3921.97911563308,4159.16354123446,4419.3988680186,4702.73061823207,4968.57276699143,5283.72964943779,5632.03125629342,6050.59088262205,6448.88455952805,6128.78243783335,6225.53265474741,6458.3681488084,6695.29194763723,7008.88934551726
Cameroon,CMR,4517.61887779618,4220.65297387084,3974.27759501196,3556.31854424592,3522.74885285749,3526.54367510339,3577.59204137871,3641.70750463277,3714.13212604236,3780.06217282191,3822.94425358926,3884.87304812714,3951.41936232132,4054.78133246517,4222.96638689885,4199.72270969362,4241.51744722821,4302.6192630847,4300.26640352464,4286.57718166156,4286.58302947378,4307.85195558527,4382.11120797355,4473.57231896434,4588.4864949903,4698.66677843587,4767.13186148953,4797.97544185544,4851.48003949961,4882.35560028896,4763.48194388066,4793.55628200196,4843.65038202917,4875.25120768005,4916.93354019494
Canada,CAN,40475.1123914259,39139.3122852292,39023.182197815,39622.4790617509,40952.1359325297,41617.7233238779,41880.5520989428,43241.2407061887,44553.2827303697,46464.5457841559,48399.3055389359,48774.1675534138,49695.0066909867,50139.7862347007,51210.6796118735,52356.5578038534,53195.781842155,53761.8620298113,53711.6792064975,51552.4223837895,52558.4408142168,53681.1296700569,54034.8034751988,54712.178423981,55723.4835404159,55660.8675272614,55606.1549191947,56612.3285367448,57337.4909099991,57583.845798092,54092.8790317796,56995.1176781351,58321.0611834624,57517.4431587432,56706.8238031978
Caribbean small states,CSS,13198.2754939448,13263.7558204557,13642.1516584395,13564.2388567604,13929.6021536662,14217.4022148323,14792.9329810552,15414.6650103892,16040.2516977366,16699.4627841092,17334.1696408259,17624.6775781099,18248.8194771945,19438.9045334044,20350.4732151438,21417.1585347256,23105.1828868098,23936.2004354488,24319.2051196131,23485.3476402604,23877.4955111535,24001.2271122678,24894.4243263693,25222.7295712406,25714.3530662098,25478.6360975466,24416.1391025428,23997.9154256351,24087.8015339711,24160.9840718485,22301.7958051804,23493.3054375431,27046.7067687718,29615.1562021489,33979.6741599298
Cayman Islands,CYM,,,,,,,,,,,,,,,,,92213.0768210996,92343.7260001978,89380.1514801096,80631.8445943625,76294.7641308594,75094.8308085917,73982.6776694492,72988.7055776283,73051.8114153598,73315.3848584988,73941.8590538337,74599.6807673263,76124.5501254035,77476.8412822407,72183.1359045895,74160.4914000191,76818.8004032916,79675.8568481808,
Central African Republic,CAF,1481.25255094258,1427.69018313539,1294.20254725767,1257.8284033824,1278.91509145063,1334.10322981784,1247.9687525828,1278.48826062781,1302.75142830782,1313.23570902088,1245.81399563599,1272.85710758505,1290.38314917126,1191.8731520062,1236.28534712166,1219.5939445674,1251.87082171335,1284.55283590666,1283.2728263106,1402.68164770801,1479.41367757692,1517.14839091011,1577.98053252253,996.896355923912,1001.85598053496,1043.92171697157,1073.94477703739,1103.86609318724,1125.70091748228,1145.09563657752,1136.57052993758,1128.55237996459,1136.80171107045,1132.67643369804,1111.21941638883
Central Europe and the Baltics,CEB,17293.7542252734,15451.9340581478,14722.8538640451,14768.8169720575,15311.1300771015,16209.4282496176,16972.4924420111,17271.9604682843,17726.9069905313,18053.5477381799,18867.1055547682,19591.2335941249,20437.7531365339,21307.6436711066,22666.0859774551,23837.3866148425,25490.8334936571,27204.989770166,28468.5964153978,27511.7402795635,27958.1572558149,29053.1410411621,29385.8411072238,29678.3493271629,30741.1875295978,32054.2619067409,33063.4235806357,34898.8933468064,36731.3989449303,38302.2924608286,37280.2858458592,40122.4708640722,41834.7254053812,42109.6797264149,43029.3833307254
Chad,TCD,1711.36988442035,1790.73791098353,1853.67667631479,1526.05432530002,1642.51653213298,1591.14154056727,1555.91392488298,1588.09860417439,1641.05715328512,1573.58531389989,1506.71577205515,1626.56683129334,1704.27295147382,1878.58578619738,2400.97004980577,2705.816508357,2596.03235458563,2613.47387385213,2601.36125803518,2474.70758351267,2717.40540184377,2741.07083398912,2886.27474563711,2864.1130140853,2820.67795067436,2822.57929900236,2622.59780843796,2496.26213644007,2552.37036388576,2604.53153663392,2513.02922729008,2435.07274651099,2449.48251052484,2433.09879153397,2412.865855392
Chile,CHL,10952.6557541746,11607.5304034269,12735.6013333406,13377.3053213538,13846.3481640718,14908.0347974549,15744.7380005491,16683.9059031298,17156.9718740639,16896.1244715786,17525.2717273479,17870.3008332711,18240.2015602857,18902.8708740806,19961.9835794233,20918.5275760681,21968.5375355854,22878.8834428789,23509.7816931441,23013.5817893814,24116.7694715614,25366.2690249825,26670.4971338402,27291.3576525957,27505.0495524158,27811.3745158617,27958.7284996682,27892.9946862827,28492.6611456515,28218.5343879081,26248.5616432825,29089.850459728,29569.4775527937,29563.6780243659,30182.7871224714
China,CHN,1666.92774090575,1798.27610528653,2030.38636999332,2286.75974444182,2556.64057218097,2808.03403089611,3055.96977919745,3305.79061082131,3533.56587021506,3774.13766362641,4066.03627019859,4372.15705579934,4744.39855079794,5192.00604608587,5684.16873050981,6298.32318474516,7057.09993331646,8013.71568302247,8743.74491232188,9518.43214737204,10476.3123630451,11405.0172845617,12217.8543175465,13080.8288162668,13968.581485524,14856.7807604461,15772.7647598696,16757.9736318662,17806.7902349725,18820.5131033646,19215.1541703465,20843.2978347377,21499.3822834427,22687.0758723942,23845.6197217259
Colombia,COL,9998.81069684463,9996.0978604328,10196.4329707468,10533.1149561734,10927.9389491607,11279.0004579347,11303.1308859186,11483.5050125907,11343.8799115733,10679.7092686089,10813.4942250011,10823.4504878807,10925.1485602082,11183.2911819793,11607.9384935105,11999.2549591305,12636.6246577724,13318.3033138168,13591.0609028567,13586.7518430982,14037.0642668639,14852.3699513061,15279.4790008058,15912.2471293239,16480.3631474161,16821.3801400631,17003.244366485,16986.0334182842,17104.1313545678,17336.7716030551,15861.4999291295,17383.0901728295,18458.7209460704,18382.9976800475,18477.2146664536
Comoros,COM,3114.56170355537,2852.17677568215,2999.12250768543,3019.88376220683,2848.61899402647,2957.40898299767,2892.08263672469,2968.07724742894,2918.13300445377,2943.92006172568,2858.85692121457,2952.44235205824,3023.52434389434,3023.18985379149,3058.38338421434,3166.36268239583,3048.69236655028,3012.54746686894,3070.36952892496,3107.45297029798,3161.37481152565,3227.21653582919,3263.16316392712,3337.59859719238,3334.57512780965,3302.38635129322,3342.76677092883,3401.85239322573,3457.58685798732,3451.42139338772,3377.74564051638,3377.88518482587,3399.27830776976,3434.40177367723,3482.53486037478
"Congo, Dem. Rep.",COD,2403.9702501624,2129.44892037951,1842.5484850692,1538.39690696229,1410.05655375361,1362.1877957229,1322.58011961553,1228.39076846803,1176.05049796489,1088.65043725373,981.422080026496,930.8578260745,929.452807092197,953.044643237975,987.746920877671,1016.6338907666,1036.13329616563,1091.0040733455,1136.9467210438,1108.57506967795,1158.01422439658,1205.73984565432,1267.23827814087,1342.74156112016,1392.75841334673,1433.21579814709,1388.80163211633,1395.71961761712,1431.7285269693,1394.76461472893,1361.02791099008,1402.38560295221,1484.33841881449,1559.33806475859,1602.074979895
