geo,year,pisa_score
NZL,2022,494.67
OED,2018,488.36
PAN,2009,368.79
PAN,2018,364.81
PAN,2022,379.0
PER,2000,317.48
PER,2009,368.05
PER,2012,375.12
PER,2015,393.6
PER,2018,401.52
PER,2022,402.33
PHL,2018,349.73
PHL,2022,352.67
POL,2000,477.41
POL,2003,494.87
POL,2006,500.29
POL,2009,501.12
POL,2012,520.5
POL,2015,503.87
POL,2018,512.85
POL,2022,492.33
PRT,2000,461.05
PRT,2003,470.44
PRT,2006,470.92
PRT,2009,489.72
PRT,2012,488.03
PRT,2015,496.95
PRT,2018,491.99
PRT,2022,477.67
PRY,2022,359.67
QAT,2006,326.49
QAT,2009,373.09
QAT,2012,382.53
QAT,2015,407.3
QAT,2018,413.48
QAT,2022,421.67
ROU,2000,431.64
ROU,2006,409.7
ROU,2009,426.57
ROU,2012,440.31
ROU,2015,437.49
ROU,2018,427.79
ROU,2022,428.0
RUS,2000,466.69
RUS,2003,466.63
RUS,2006,465.0
RUS,2009,468.5
RUS,2012,481.2
RUS,2015,491.77
RUS,2018,481.34
SAU,2022,387.33
SGP,2022,559.67
SLV,2022,360.33
SRB,2022,442.33
SVK,2022,457.67
SVN,2022,484.67
SWE,2022,487.67
THA,2022,394.0
TUR,2022,461.67
TWN,2022,533.0
UKR,2022,439.67
URY,2022,424.67
USA,2022,489.33
UZB,2022,351.67
VNM,2022,467.67
XKX,2015,362.37
XKX,2018,361.28
